YEAR,PSTATABB,FIPSST,STNAMEPCAP,STHTIAN,STHTIOZ,STHTIANT,STHTIOZT,STNGENAN,STNGENOZ,STNOXAN,STNOXOZ,STSO2AN,STCO2AN,STCH4AN,STN2OAN,STCO2EQA,STHGAN,STNOXRTA,STNOXRTO,STSO2RTA,STCO2RTA,STCH4RTA,STN2ORTA,STC2ERTA,STHGRTA,STNOXRA,STNOXRO,STSO2RA,STCO2RA,STCH4RA,STN2ORA,STC2ERA,STHGRA,STNOXCRT,STNOXCRO,STSO2CRT,STCO2CRT,STCH4CRT,STN2OCRT,STC2ECRT,STHGCRT,STCNOXRT,STONOXRT,STGNOXRT,STFSNXRT,STCNXORT,STONXORT,STGNXORT,STFSNORT,STCSO2RT,STOSO2RT,STGSO2RT,STFSS2RT,STCCO2RT,STOCO2RT,STGCO2RT,STFSC2RT,STCCH4RT,STOCH4RT,STGCH4RT,STFCH4RT,STCN2ORT,STON2ORT,STGN2ORT,STFN2ORT,STCC2ERT,STOC2ERT,STGC2ERT,STFSC2ERT,STCHGRT,STFSHGRT,STCNOXR,STONOXR,STGNOXR,STFSNXR,STCNXOR,STONXOR,STGNXOR,STFSNOR,STCSO2R,STOSO2R,STGSO2R,STFSS2R,STCCO2R,STOCO2R,STGCO2R,STFSC2R,STCCH4R,STOCH4R,STGCH4R,STFCH4R,STCN2OR,STON2OR,STGN2OR,STFN2OR,STCC2ER,STOC2ER,STGC2ER,STFSC2ER,STCHGR,STFSHGR,STNBNOX,STNBNXO,STNBSO2,STNBCO2,STNBCH4,STNBN2O,STNBC2E,STNBHG,STGENACL,STGENAOL,STGENAGS,STGENANC,STGENAHY,STGENABM,STGENAWI,STGENASO,STGENAGT,STGENAOF,STGENAOP,STGENATN,STGENATR,STGENATH,STGENACY,STGENACN,STCLPR,STOLPR,STGSPR,STNCPR,STHYPR,STBMPR,STWIPR,STSOPR,STGTPR,STOFPR,STOPPR,STTNPR,STTRPR,STTHPR,STCYPR,STCNPR,STNBGNCL,STNBGNOL,STNBGNGS,STNBGNNC,STNBGNHY,STNBGNBM,STNBGNWI,STNBGNSO,STNBGNGT,STNBGNOF,STNBGNOP,STNBCLPR,STNBOLPR,STNBGSPR,STNBNCPR,STNBHYPR,STNBBMPR,STNBWIPR,STNBSOPR,STNBGTPR,STNBOFPR,STNBOPPR
2020.00,AK,2.00,3533.80,40667726.22,15552759.07,56242312.20,22551179.04,6156046.99,2467216.00,20158.70,7943.07,1826.38,2956954.05,504434.77,70499.49,2973763.91,--,6.55,6.44,0.59,960.67,0.08,0.01,966.13,--,0.99,1.02,0.09,145.42,0.01,0.00,146.25,--,9.20,9.05,0.83,1349.87,0.12,0.02,1357.54,--,1.26,16.96,8.62,9.25,1.28,16.98,8.66,9.57,1.48,2.54,0.03,0.84,2306.09,1548.48,1025.61,1358.73,0.26,0.27,0.02,0.12,0.04,0.04,0.00,0.02,2323.81,1566.74,1026.68,1366.46,--,--,0.12,1.81,0.98,1.00,0.12,1.80,0.98,1.03,0.14,0.27,0.00,0.09,212.83,165.58,116.89,146.87,0.02,0.03,0.00,0.01,0.00,8.26,0.00,0.00,214.47,167.54,117.01,147.71,--,--,9.65,10.18,0.95,1348.66,0.12,0.02,1356.44,--,721788.94,982938.06,2640759.78,0.00,1646417.00,39064.66,128533.00,0.00,0.00,0.00,-3454.00,4342032.78,1814014.66,167597.66,4381097.44,1774950.00,0.12,0.16,0.43,0.00,0.27,0.01,0.02,0.00,0.00,0.00,0.00,0.71,0.29,0.03,0.71,0.29,411980.70,813861.64,1642257.91,0.00,0.00,26834.73,0.00,0.00,0.00,0.00,0.00,0.14,0.28,0.57,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
2020.00,AL,1.00,40373.30,661040521.82,322422182.42,781239059.94,372613483.47,136842032.30,63104871.35,16093.69,8133.87,6690.68,49115652.63,6640384.00,974510.12,49335491.40,--,0.24,0.26,0.10,717.85,0.05,0.01,721.06,--,0.05,0.05,0.02,148.60,0.01,0.00,149.27,--,0.40,0.44,0.17,1234.21,0.08,0.01,1239.73,--,0.72,33.00,0.17,0.39,0.77,32.97,0.15,0.41,0.21,3.13,0.01,0.09,1928.05,1763.39,840.29,1282.88,0.18,0.07,0.02,0.08,0.03,0.01,0.00,0.01,1939.98,1769.43,841.16,1288.25,--,--,0.07,3.06,0.02,0.05,0.08,3.06,0.02,0.05,0.02,0.29,0.00,0.01,187.34,163.33,117.42,152.14,0.02,0.01,0.00,0.01,0.00,2.65,0.00,0.00,188.50,163.89,117.54,152.78,--,--,0.43,0.47,0.17,1203.21,0.07,0.01,1207.93,--,21553461.75,12846.81,54717306.94,43550647.00,13349134.00,3306439.83,0.00,351828.00,0.00,410.45,-42.00,119834630.94,17007401.83,3658267.83,79590423.77,57251609.00,0.16,0.00,0.40,0.32,0.10,0.02,0.00,0.00,0.00,0.00,0.00,0.88,0.12,0.03,0.58,0.42,15923414.43,861.00,21156017.10,0.00,0.00,1102691.85,0.00,0.00,0.00,520.00,0.00,0.42,0.00,0.55,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00
2020.00,AR,5.00,20268.30,310852918.38,160676057.39,352987640.46,178753557.49,54641258.92,26121877.71,13195.66,7772.98,23711.13,25845492.24,4209668.09,614987.27,25989746.19,--,0.48,0.60,0.87,946.01,0.08,0.01,951.29,--,0.09,0.10,0.15,166.29,0.01,0.00,167.22,--,0.76,0.94,1.37,1489.23,0.12,0.02,1497.54,--,1.38,0.00,0.22,0.75,1.55,0.00,0.28,0.90,2.87,0.00,0.01,1.32,2302.72,0.00,881.79,1535.13,0.25,0.00,0.02,0.12,0.04,0.00,0.00,0.02,2319.77,0.00,882.68,1543.45,--,--,0.13,0.00,0.03,0.08,0.14,0.00,0.04,0.10,0.26,0.00,0.00,0.15,209.71,0.00,118.85,169.50,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,211.26,0.00,118.97,170.42,--,--,0.93,1.10,1.79,1546.57,0.13,0.02,1555.14,--,15420997.76,44171.49,18307326.75,15063049.00,4596204.00,932929.07,0.00,272147.86,0.00,4954.78,-522.00,48839977.78,5801280.93,1205076.93,34709857.84,19931400.86,0.28,0.00,0.34,0.28,0.08,0.02,0.00,0.00,0.00,0.00,0.00,0.89,0.11,0.02,0.64,0.36,10193464.38,0.00,11837811.46,0.00,0.00,638383.98,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.52,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00
2020.00,AZ,4.00,42863.10,556160211.06,279524868.84,669380264.56,332468900.55,109305056.86,52894598.25,19526.04,10068.61,8298.44,40125530.32,4613971.52,634701.38,40277775.47,--,0.36,0.38,0.15,734.19,0.04,0.01,736.98,--,0.07,0.07,0.03,144.30,0.01,0.00,144.84,--,0.60,0.64,0.26,1238.73,0.07,0.01,1243.43,--,1.73,31.83,0.30,0.60,1.75,31.78,0.32,0.62,1.20,18.26,0.01,0.26,2468.06,5901.04,924.59,1242.46,0.26,0.24,0.02,0.07,0.04,0.05,0.00,0.01,2486.11,5921.22,925.55,1246.95,--,--,0.15,0.88,0.04,0.07,0.15,0.88,0.04,0.07,0.10,0.51,0.00,0.03,208.53,163.33,120.00,145.23,0.02,0.01,0.00,0.01,0.00,2.65,0.00,0.00,210.05,163.88,120.13,145.75,--,--,0.70,0.73,0.30,1317.71,0.08,0.01,1322.98,--,13747253.03,40404.97,50777570.39,31552433.00,6485851.00,222833.23,644160.00,5837443.30,0.00,0.00,-2892.00,96114769.38,13190287.53,6704436.53,64785169.61,44519887.30,0.13,0.00,0.46,0.29,0.06,0.00,0.01,0.05,0.00,0.00,0.00,0.88,0.12,0.06,0.59,0.41,9518717.93,23.00,29002785.29,0.00,0.00,1025.64,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020.00,CA,6.00,118350.70,787973782.56,355154703.43,1467240501.66,711071942.60,192954153.41,92380243.86,38224.49,17264.83,3177.58,43560769.96,5047078.13,615289.55,43715536.57,--,0.40,0.37,0.03,451.51,0.03,0.00,453.12,--,0.10,0.10,0.01,110.56,0.01,0.00,110.96,--,0.76,0.72,0.06,869.43,0.05,0.01,872.51,--,1.19,8.71,0.64,0.63,1.21,8.41,0.67,0.66,0.00,0.59,0.01,0.01,1125.17,1859.17,896.61,896.17,0.12,0.02,0.02,0.02,0.02,0.00,0.00,0.00,1133.65,1860.73,897.51,897.09,--,--,0.22,0.93,0.09,0.08,0.22,0.89,0.09,0.09,0.00,0.06,0.00,0.00,202.62,198.00,117.99,118.29,0.02,0.00,0.00,0.00,0.00,0.78,0.00,0.00,204.15,198.16,118.10,118.41,--,--,0.71,0.74,0.02,912.16,0.04,0.00,914.43,--,290290.85,42838.37,92036130.24,16258698.00,21287187.00,5789906.28,13583089.00,30252777.38,11366522.00,1522717.25,523998.27,110674672.97,82279481.66,60992294.66,100205881.25,92748273.38,0.00,0.00,0.48,0.08,0.11,0.03,0.07,0.16,0.06,0.01,0.00,0.57,0.43,0.32,0.52,0.48,116756.92,100466.08,57383845.03,0.00,0.00,1945749.48,0.00,0.00,0.00,263215.06,0.00,0.00,0.00,0.96,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00
2020.00,CO,8.00,23545.10,381886694.12,164066255.58,527675099.30,226195599.56,53792186.81,23150126.92,17567.64,7218.03,9123.64,32603672.67,5605007.15,798589.30,32792725.02,--,0.65,0.62,0.34,1212.21,0.10,0.02,1219.24,--,0.09,0.09,0.05,170.75,0.02,0.00,171.74,--,0.94,0.90,0.49,1744.21,0.15,0.02,1754.32,--,1.44,-0.25,0.32,0.94,1.40,-0.26,0.33,0.89,0.91,-0.12,0.01,0.49,2358.97,-39.13,1044.36,1754.87,0.26,0.00,0.02,0.15,0.04,0.00,0.00,0.02,2376.75,-39.26,1045.39,1764.88,--,--,0.13,1.04,0.04,0.09,0.12,1.00,0.04,0.09,0.08,0.50,0.00,0.05,207.47,163.33,118.83,171.70,0.02,0.01,0.00,0.01,0.00,2.65,0.00,0.00,209.04,163.89,118.95,172.68,--,--,0.89,0.85,0.42,1655.79,0.13,0.02,1664.68,--,19478404.99,-188632.27,17848513.89,0.00,1517170.00,166481.15,13386228.00,1503694.00,0.00,20987.00,59340.00,37218613.60,16573573.15,15056403.15,37385094.75,16407092.00,0.36,0.00,0.33,0.00,0.03,0.00,0.25,0.03,0.00,0.00,0.00,0.69,0.31,0.28,0.69,0.31,10955144.70,3464.00,12362442.43,0.00,0.00,43667.00,0.00,0.00,0.00,49.25,0.00,0.47,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020.00,CT,9.00,13059.80,187286529.77,84489369.64,194484276.78,86885449.65,41190572.14,18239267.93,5078.37,2263.65,499.84,10846890.50,2040747.95,256953.24,10910685.88,--,0.25,0.25,0.02,526.67,0.05,0.01,529.77,--,0.05,0.05,0.01,115.83,0.01,0.00,116.51,--,0.41,0.41,0.04,870.45,0.08,0.01,875.57,--,0.00,24.34,0.19,0.22,0.00,10.32,0.20,0.22,0.00,7.54,0.01,0.02,0.00,6292.05,821.18,825.86,0.00,0.17,0.02,0.02,0.00,0.03,0.00,0.00,0.00,6305.79,822.02,826.71,--,--,0.00,0.57,0.03,0.03,0.00,0.35,0.03,0.03,0.00,0.18,0.00,0.00,0.00,147.37,118.92,119.07,0.00,0.00,0.00,0.00,0.00,1.48,0.00,0.00,0.00,147.70,119.04,119.19,--,--,0.45,0.42,0.05,879.51,0.06,0.01,883.12,--,-19081.63,32586.90,23536812.88,15714855.00,327265.13,1372264.22,12184.00,213686.00,0.00,0.00,0.00,39265173.15,1925399.35,1598134.22,24922582.37,16267990.13,0.00,0.00,0.57,0.38,0.01,0.03,0.00,0.01,0.00,0.00,0.00,0.95,0.05,0.04,0.61,0.39,0.00,26659.00,8105286.01,0.00,0.00,241431.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00
2020.00,DC,11.00,52.50,1607598.75,612923.09,1718971.75,667578.09,174521.00,73829.00,224.80,87.12,2.64,69818.85,3189.10,319.05,69906.25,--,2.58,2.36,0.03,800.12,0.02,0.00,801.12,--,0.28,0.28,0.00,86.86,0.00,0.00,86.97,--,2.78,2.55,0.03,862.89,0.02,0.00,863.97,--,0.00,0.00,2.07,2.07,0.00,0.00,1.89,1.89,0.00,0.00,0.02,0.02,0.00,0.00,1307.82,1307.82,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,1308.96,1308.96,--,--,0.00,0.00,0.19,0.19,0.00,0.00,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.00,116.89,116.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,116.99,116.99,--,--,2.98,2.69,0.04,608.17,0.02,0.00,609.16,--,0.00,20.52,106953.01,0.00,0.00,54852.09,0.00,12695.00,0.00,0.00,0.00,106973.53,67547.09,67547.09,161825.62,12695.00,0.00,0.00,0.61,0.00,0.00,0.31,0.00,0.07,0.00,0.00,0.00,0.61,0.39,0.39,0.93,0.07,0.00,0.00,22833.40,0.00,0.00,32407.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.59,0.00,0.00,0.00,0.00,0.00
2020.00,DE,10.00,4180.40,32568310.31,21176254.01,34664059.31,22344872.01,5205372.00,3087846.00,629.01,431.22,327.40,1961335.53,125421.13,14783.57,1965106.05,--,0.24,0.28,0.13,753.58,0.02,0.00,755.03,--,0.04,0.04,0.02,120.44,0.00,0.00,120.68,--,0.24,0.28,0.13,762.27,0.02,0.00,763.74,--,1.53,0.34,0.06,0.23,1.27,0.35,0.06,0.27,5.27,0.03,0.00,0.16,3110.09,1042.73,744.19,950.66,0.45,0.02,0.01,0.03,0.07,0.00,0.00,0.00,3141.06,1043.79,744.96,952.38,--,--,0.10,0.04,0.01,0.03,0.10,0.04,0.01,0.03,0.35,0.00,0.00,0.02,204.86,118.92,118.97,123.52,0.03,0.00,0.00,0.00,0.00,0.44,0.00,0.00,206.90,119.04,119.09,123.74,--,--,0.30,0.33,0.17,869.45,0.03,0.00,871.24,--,102274.17,8061.40,4818093.83,0.00,0.00,72042.00,5179.00,54173.00,0.00,145548.63,0.00,5073978.02,131394.00,131394.00,5146020.02,59352.00,0.02,0.00,0.93,0.00,0.00,0.01,0.00,0.01,0.00,0.03,0.00,0.97,0.03,0.03,0.99,0.01,105977.00,1874322.00,918550.17,0.00,0.00,21232.00,0.00,0.00,0.00,0.00,0.00,0.04,0.64,0.31,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
2020.00,FL,12.00,108916.20,1646811028.26,772454122.57,1716279755.07,800611333.59,250780435.17,116845721.44,38072.38,17492.47,19828.27,105203606.66,12386342.24,1619675.38,105599767.56,--,0.30,0.30,0.16,839.01,0.05,0.01,842.17,--,0.05,0.05,0.02,127.77,0.01,0.00,128.25,--,0.36,0.35,0.19,980.37,0.06,0.01,984.06,--,0.43,9.33,0.24,0.27,0.45,9.36,0.23,0.26,0.73,4.72,0.06,0.15,1502.40,1915.39,900.99,984.94,0.13,0.10,0.02,0.04,0.02,0.02,0.00,0.00,1511.23,1924.07,902.24,987.25,--,--,0.05,0.78,0.03,0.04,0.05,0.79,0.03,0.03,0.08,0.40,0.01,0.02,169.65,160.35,122.78,130.46,0.01,0.01,0.00,0.00,0.00,3.43,0.00,0.00,170.65,161.08,122.95,130.76,--,--,0.36,0.34,0.20,1017.61,0.05,0.01,1021.02,--,16597728.13,1702036.84,189420462.71,29419352.00,231680.00,5587543.45,0.00,6509602.00,0.00,1474.16,1310555.25,238451609.07,12328825.45,12097145.45,214619800.52,36160634.00,0.07,0.01,0.76,0.12,0.00,0.02,0.00,0.03,0.00,0.00,0.01,0.95,0.05,0.05,0.86,0.14,21664148.25,7417.00,114844704.27,0.00,0.00,2438195.71,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.83,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00
2020.00,GA,13.00,53810.00,650639798.63,330794730.66,724707687.52,363107450.73,119593376.14,54800842.78,17326.55,6822.58,13945.83,43039692.41,6571825.21,951954.40,43263681.08,--,0.29,0.25,0.23,719.77,0.06,0.01,723.51,--,0.05,0.04,0.04,132.30,0.01,0.00,132.99,--,0.44,0.38,0.35,1093.75,0.08,0.01,1099.44,--,1.37,1.55,0.13,0.37,0.75,1.81,0.16,0.30,0.99,1.34,0.01,0.20,2390.51,1330.79,893.74,1180.86,0.26,0.06,0.02,0.06,0.04,0.01,0.00,0.01,2408.17,1335.60,894.65,1184.98,--,--,0.12,0.24,0.02,0.05,0.07,0.28,0.02,0.03,0.09,0.21,0.00,0.02,207.26,208.90,118.87,142.58,0.02,0.01,0.00,0.01,0.00,3.41,0.00,0.00,208.79,209.66,118.99,143.08,--,--,0.79,0.60,0.50,1503.77,0.13,0.02,1512.45,--,13913934.46,206521.43,58642401.00,32825697.00,4286206.77,5855218.97,0.00,3780137.23,0.00,82777.82,480.92,105671812.64,13921562.97,9635356.20,78701334.61,40892041.00,0.12,0.00,0.49,0.27,0.04,0.05,0.00,0.03,0.00,0.00,0.00,0.88,0.12,0.08,0.66,0.34,12990398.04,200883.67,18055176.52,0.00,0.00,2055243.56,0.00,0.00,0.00,0.00,0.00,0.39,0.01,0.54,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00
2020.00,HI,15.00,4136.90,84712916.57,34395481.36,95020748.57,39171587.36,9069240.00,3771235.41,21978.69,8818.46,27211.71,6870958.66,1446697.17,222186.01,6922105.76,--,4.85,4.68,6.00,1515.22,0.16,0.02,1526.50,--,0.52,0.51,0.64,162.22,0.02,0.00,163.43,--,5.57,5.37,6.89,1740.74,0.18,0.03,1753.70,--,2.81,6.17,0.00,5.62,2.80,6.04,0.00,5.53,5.96,7.61,0.00,7.34,2378.89,1649.51,0.00,1767.63,0.28,0.09,0.00,0.12,0.04,0.02,0.00,0.02,2398.05,1656.62,0.00,1776.69,--,--,0.25,0.61,0.00,0.55,0.25,0.60,0.00,0.54,0.54,0.75,0.00,0.71,213.89,163.13,0.00,172.03,0.03,0.01,0.00,0.01,0.00,3.22,0.00,0.00,215.62,163.83,0.00,172.91,--,--,6.39,6.27,7.11,1696.58,0.16,0.03,1708.35,--,1165146.70,6149205.34,0.00,0.00,98820.00,455049.90,582459.00,484030.00,9640.00,2874.05,122015.40,7439241.49,1629998.90,1531178.90,7894291.39,1174949.00,0.13,0.68,0.00,0.00,0.01,0.05,0.06,0.05,0.00,0.00,0.01,0.82,0.18,0.17,0.87,0.13,264789.86,4114810.88,0.00,0.00,0.00,280874.00,0.00,0.00,0.00,0.00,0.00,0.06,0.88,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00
2020.00,IA,19.00,27338.00,198756319.15,104418380.23,507825583.64,218925767.27,59636671.81,25382228.18,10988.11,5632.11,17431.43,18222191.66,3592208.31,517300.89,18344172.10,--,0.37,0.44,0.59,611.11,0.06,0.01,615.20,--,0.11,0.11,0.18,183.36,0.02,0.00,184.59,--,1.02,1.23,1.62,1694.91,0.17,0.02,1706.26,--,1.35,2.86,0.24,1.02,1.30,3.35,0.26,1.00,2.38,0.37,0.03,1.63,2069.91,1210.33,920.83,1704.18,0.24,0.06,0.02,0.17,0.03,0.01,0.00,0.02,2086.12,1215.00,921.97,1715.59,--,--,0.14,0.48,0.03,0.11,0.13,0.44,0.03,0.11,0.24,0.06,0.00,0.18,208.66,202.20,117.81,184.56,0.02,0.01,0.00,0.02,0.00,3.49,0.00,0.00,210.29,202.98,117.96,185.80,--,--,1.14,1.12,1.75,1753.92,0.18,0.03,1765.99,--,14146834.54,111110.59,7036824.02,2904863.00,1025215.00,207500.34,34182302.00,22082.00,0.00,0.00,-60.00,24199572.15,35437099.34,34411884.34,21502209.49,38134462.00,0.24,0.00,0.12,0.05,0.02,0.00,0.57,0.00,0.00,0.00,0.00,0.41,0.59,0.58,0.36,0.64,11648973.24,153783.99,4330986.88,0.00,0.00,17781.41,0.00,0.00,0.00,0.00,0.00,0.72,0.01,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020.00,ID,16.00,6214.60,34944670.64,12998634.68,148784012.02,63605498.53,17674572.41,7402910.56,1625.18,676.63,517.91,1880914.98,137616.34,21490.14,1885837.22,--,0.18,0.18,0.06,212.84,0.01,0.00,213.40,--,0.09,0.10,0.03,107.65,0.00,0.00,107.93,--,0.68,0.68,0.22,791.75,0.03,0.01,793.82,--,0.00,32.35,0.21,0.21,0.00,0.00,0.25,0.25,0.00,2.94,0.02,0.02,0.00,1666.94,905.00,905.01,0.00,0.07,0.02,0.02,0.00,0.01,0.00,0.00,0.00,1672.65,905.98,905.99,--,--,0.00,3.17,0.03,0.03,0.00,,0.03,0.03,0.00,0.29,0.00,0.00,0.00,163.33,119.14,119.14,0.00,0.01,0.00,0.00,0.00,2.65,0.00,0.00,0.00,163.89,119.27,119.27,--,--,0.79,0.95,0.28,852.46,0.03,0.01,854.84,--,20043.97,34.00,4157098.42,0.00,9501021.10,521292.92,2766098.18,565601.00,90572.00,0.00,52810.00,4229986.39,13444585.20,3943564.10,4751279.30,12923292.28,0.00,0.00,0.24,0.00,0.54,0.03,0.16,0.03,0.01,0.00,0.00,0.24,0.76,0.22,0.27,0.73,0.00,34.00,1885675.21,0.00,0.00,319080.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00
2020.00,IL,17.00,68478.60,552508954.70,272465983.13,696734118.72,313955513.13,173337706.25,73483297.60,21097.23,10536.47,60619.39,47945335.95,8328102.85,1187460.67,48226368.87,--,0.24,0.29,0.70,553.20,0.05,0.01,556.44,--,0.08,0.08,0.22,173.56,0.02,0.00,174.57,--,0.75,0.88,2.14,1692.63,0.15,0.02,1702.55,--,1.01,42.08,0.40,0.75,1.02,48.47,0.53,0.80,3.77,6.58,0.02,2.16,2236.72,2890.12,992.68,1708.37,0.24,0.11,0.02,0.15,0.04,0.02,0.00,0.02,2253.41,2899.79,993.87,1718.40,--,--,0.09,2.37,0.05,0.08,0.09,2.10,0.05,0.08,0.35,0.37,0.00,0.22,206.44,163.02,118.76,175.53,0.02,0.01,0.00,0.02,0.00,2.58,0.00,0.00,207.98,163.57,118.90,176.56,--,--,0.89,0.95,2.14,1740.29,0.16,0.02,1750.82,--,31198321.85,30300.15,24499068.14,100246068.00,134981.00,391023.16,16225939.84,78743.00,0.00,284847.90,248413.22,156507019.25,16830687.00,16695706.00,56651974.41,116685731.84,0.18,0.00,0.14,0.58,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.90,0.10,0.10,0.33,0.67,17675481.53,3504.80,13345568.74,0.00,0.00,189866.17,0.00,0.00,0.00,16489.05,0.00,0.57,0.00,0.43,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
2020.00,IN,18.00,43026.70,773887354.80,354395172.90,838718080.86,371104459.89,90072288.01,38998057.18,48986.99,18738.19,41402.44,69352131.88,12665469.55,1819215.77,69781393.84,--,1.09,0.96,0.92,1539.92,0.14,0.02,1549.45,--,0.13,0.11,0.11,179.23,0.02,0.00,180.34,--,1.18,1.04,1.00,1670.33,0.15,0.02,1680.67,--,1.74,37.40,0.25,1.16,1.46,38.16,0.27,1.01,1.69,3.38,0.02,1.04,2242.95,1907.97,913.70,1721.71,0.25,0.08,0.02,0.16,0.04,0.02,0.00,0.02,2259.99,1914.51,914.63,1732.44,--,--,0.16,3.20,0.03,0.12,0.13,3.20,0.04,0.10,0.16,0.29,0.00,0.11,207.91,163.33,121.81,181.35,0.02,0.01,0.00,0.02,0.00,2.65,0.00,0.00,209.49,163.89,121.93,182.48,--,--,1.22,1.06,1.19,1830.99,0.18,0.03,1843.08,--,47772885.27,113473.43,32084576.00,0.00,270739.00,471657.49,6287548.00,358062.00,0.00,2239948.55,473399.00,82568218.25,7388006.49,7117267.49,83039875.74,6916349.00,0.53,0.00,0.36,0.00,0.00,0.01,0.07,0.00,0.00,0.02,0.01,0.92,0.08,0.08,0.92,0.08,34718524.45,154.00,14346935.06,0.00,0.00,71985.97,0.00,0.00,0.00,45181.55,0.00,0.71,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020.00,KS,20.00,22701.90,219741836.09,112282784.98,430349407.10,196788226.95,54541831.47,24038382.19,13438.23,6592.48,4158.61,21769666.73,4733136.91,686248.48,21931081.96,--,0.49,0.55,0.15,798.27,0.09,0.01,804.19,--,0.12,0.12,0.04,198.14,0.02,0.00,199.61,--,1.35,1.50,0.42,2187.30,0.24,0.03,2203.52,--,1.24,43.76,1.97,1.36,1.20,57.25,2.17,1.33,0.48,2.17,0.01,0.42,2361.26,3409.05,1119.65,2194.87,0.27,0.11,0.02,0.24,0.04,0.02,0.00,0.03,2379.89,3417.76,1120.77,2211.15,--,--,0.11,2.07,0.21,0.12,0.11,1.78,0.22,0.12,0.04,0.10,0.00,0.04,209.26,161.28,118.72,198.83,0.02,0.01,0.00,0.02,0.00,1.93,0.00,0.00,210.91,161.69,118.84,200.30,--,--,1.47,1.42,0.44,2206.23,0.24,0.03,2222.44,--,16959838.98,74856.56,2802163.86,10582482.00,32402.00,63698.00,23963744.00,57675.00,0.00,0.00,4971.00,30424312.40,24117519.00,24085117.00,19905528.40,34636303.00,0.31,0.00,0.05,0.19,0.00,0.00,0.44,0.00,0.00,0.00,0.00,0.56,0.44,0.44,0.36,0.64,11950818.22,8953.49,1959006.98,0.00,0.00,7644.60,0.00,0.00,0.00,0.00,0.00,0.86,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020.00,KY,21.00,30296.80,564202645.68,266883481.30,608491603.15,287829503.47,63513834.15,29666414.82,28595.35,12149.99,38041.43,53115820.33,11458533.31,1660031.60,53506396.70,--,0.90,0.82,1.20,1672.58,0.18,0.03,1684.87,--,0.10,0.09,0.14,188.29,0.02,0.00,189.67,--,0.98,0.89,1.30,1817.00,0.20,0.03,1830.36,--,1.15,38.00,0.44,0.98,1.06,37.49,0.37,0.89,1.69,3.55,0.06,1.30,2114.92,2000.00,922.53,1827.89,0.25,0.08,0.02,0.20,0.04,0.02,0.00,0.03,2132.15,2006.85,923.91,1841.29,--,--,0.11,3.10,0.06,0.10,0.10,3.09,0.05,0.09,0.16,0.29,0.01,0.13,204.44,163.33,123.09,189.21,0.02,0.01,0.00,0.02,0.00,2.65,0.00,0.00,206.10,163.89,123.28,190.60,--,--,1.00,0.94,1.29,1765.85,0.18,0.03,1778.26,--,43638313.19,57177.95,14358539.42,0.00,5005493.00,347311.12,0.00,42832.00,0.00,64166.97,0.00,58118197.53,5395636.12,390143.12,58465508.65,5048325.00,0.69,0.00,0.23,0.00,0.08,0.01,0.00,0.00,0.00,0.00,0.00,0.92,0.08,0.01,0.92,0.08,27500516.10,41.16,12306121.90,0.00,0.00,237084.85,0.00,0.00,0.00,0.00,0.00,0.69,0.00,0.31,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
